,positive_score,negative_score,Polarity_Score,subjectivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length
66,35,6,0.7073170559190962,0.10621761630513571,17.476190476190474,0.5258855585831063,7.200830413909433,17.476190476190474,193,365,2.8461538461538463,9,7.317808219178082
67,47,15,0.5161290239334029,0.054770317972817735,14.583333333333334,0.5171428571428571,6.040190476190477,14.583333333333334,543,1047,2.756521739130435,8,7.132760267430754
68,27,70,-0.44329896450207257,0.14119359513654497,8.64864864864865,0.4875,3.65445945945946,8.64864864864865,312,634,2.6446540880503147,12,7.037854889589905
69,67,22,0.5056179718469891,0.1138107415424415,9.125,0.40821917808219177,3.8132876712328767,9.125,298,725,2.4743411927877945,6,6.777931034482759
70,27,32,-0.08474576127549557,0.07722513078897235,13.980392156862745,0.39831697054698456,5.751483650963892,13.980392156862745,284,712,2.434593023255814,1,6.66432584269663
71,27,21,0.1249999973958334,0.05853658529446758,10.26388888888889,0.5250338294993234,4.315569087355285,10.26388888888889,388,735,2.782668500687758,7,7.487074829931973
72,26,73,-0.47474746995204575,0.14042553171570846,9.442857142857143,0.491679273827534,3.9738145666738713,9.442857142857143,325,653,2.6310975609756095,14,7.018376722817764
73,25,11,0.3888888780864201,0.06593406581330757,12.973684210526315,0.49290060851926976,5.3866339276182345,12.973684210526315,243,492,2.6357894736842105,6,7.085365853658536
74,13,6,0.36842103324099823,0.05740181251540238,19.4,0.5051546391752577,7.962061855670104,19.4,147,291,2.859154929577465,1,7.5395189003436425
75,30,17,0.2765957387958354,0.07605177981221395,20.107142857142858,0.4991119005328597,8.242501903070288,20.107142857142858,281,563,2.732368896925859,1,7.4014209591474245
76,26,29,-0.05454545355371903,0.06264236894915448,13.096774193548388,0.4876847290640394,5.433783569044971,13.096774193548388,396,808,2.631645569620253,6,7.082920792079208
77,39,11,0.5599999888000002,0.018288222378095017,9.015810276679842,0.40420868040333185,3.76800758283327,9.015810276679842,922,2279,2.3997120921305184,1,6.359368143922773
78,40,42,-0.02439024360499703,0.07414104875755781,11.954545454545455,0.5038022813688213,4.983339094365711,11.954545454545455,530,1047,2.6553398058252426,11,7.129894937917861
79,33,64,-0.3195876255712616,0.08508771922360725,15.477611940298507,0.5689488910318226,6.418624332532132,15.477611940298507,590,1037,2.7958579881656807,1,7.364513018322083
80,8,1,0.7777776913580343,0.03862660927628065,18.727272727272727,0.5485436893203883,7.710326566637247,18.727272727272727,113,205,3.055,3,7.84390243902439
81,33,4,0.7837837626004389,0.055306427421066624,14.547619047619047,0.4828150572831424,6.012173641960876,14.547619047619047,295,608,2.597315436241611,2,6.917763157894737
82,39,34,0.06849314974666919,0.06985645926329524,8.59016393442623,0.4685114503816794,3.6234701539231637,8.59016393442623,491,1038,2.605009633911368,6,7.052986512524085
83,57,15,0.5833333252314816,0.06282722507606699,11.844444444444445,0.49624765478424016,4.936276839691474,11.844444444444445,529,1062,2.592911877394636,6,7.002824858757062
84,35,33,0.02941176427335641,0.08695652162793284,14.431372549019608,0.4592391304347826,5.956244671781757,14.431372549019608,338,731,2.6258692628650904,4,7.042407660738714
85,21,44,-0.35384614840236694,0.052083333291599886,14.64102564102564,0.4903677758318739,6.052557366743006,14.64102564102564,560,1142,2.7537593984962405,2,7.169001751313485
86,21,40,-0.3114754047299114,0.08413793091843044,12.547169811320755,0.48872180451127817,5.2143566463328135,12.547169811320755,325,665,2.710526315789474,4,7.193984962406015
87,41,48,-0.07865168450953164,0.11111111097239562,10.078947368421053,0.4804177545691906,4.223746049196097,10.078947368421053,368,761,2.6202365308804203,28,6.9526938239159
88,29,27,0.03571428507653063,0.07843137243917175,17.829268292682926,0.4897400820793434,7.3276033499049085,17.829268292682926,358,729,2.6847222222222222,13,7.058984910836763
89,21,37,-0.2758620642092748,0.061702127593933905,12.666666666666666,0.4988038277511962,5.266188197767145,12.666666666666666,417,833,2.83984867591425,3,7.506602641056422
90,9,3,0.4999999583333368,0.04651162772669912,17.76923076923077,0.5324675324675324,7.3206793206793215,17.76923076923077,123,230,2.9684684684684686,3,7.582608695652174
91,37,49,-0.1395348820984316,0.10336538449114738,11.590909090909092,0.46143790849673205,4.82093879976233,11.590909090909092,353,761,2.549465240641711,12,6.885676741130092
92,13,24,-0.2972972892622354,0.06379310333828775,13.210526315789474,0.49203187250996017,5.4810232753197745,13.210526315789474,247,497,2.774468085106383,5,7.2354124748490944
93,33,54,-0.24137930757035278,0.10609756084622249,13.875,0.5070785070785071,5.752831402831403,13.875,394,777,2.743455497382199,3,7.343629343629344
94,26,34,-0.13333333111111115,0.08759124074804199,14.818181818181818,0.48466257668711654,6.121137757947574,14.818181818181818,316,651,2.619565217391304,6,6.987711213517665
95,6,0,0.9999998333333611,0.021897810139059087,25.333333333333332,0.5789473684210527,10.364912280701754,25.333333333333332,132,228,2.933333333333333,1,7.87280701754386
96,18,2,0.799999960000002,0.04237288126615915,12.823529411764707,0.44724770642201833,5.30831084727469,12.823529411764707,195,433,2.6363636363636362,3,7.062355658198614
97,34,52,-0.2093023231476474,0.12164073533006968,17.10810810810811,0.5197472353870458,7.051142137398063,17.10810810810811,329,633,2.7540453074433655,4,7.454976303317536
